ASV_ID	Phylum	Class	Order	Family	Genus	Species	pident
b1a2b591299a088ebeae35494b1bf713	Chordata	Actinopteri	Gadiformes	Moridae	Antimora	Antimora microlepis	100
e06579de407e6fd6fad7e02d0057903c	Chordata	Actinopteri	Beloniformes	Belonidae	Scomberesox	Scomberesox saurus	99.405
79c5bf8e719046b98ea4b9639d500374	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	100
5a7783c847304564e78f42bc0b5eef42	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	Alosa pseudoharengus	100
abcf5ede977bcff7850e6718a18b1c32	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	100
545fbdada0ac175a1ead9d95237e716a	Chordata	Actinopteri	Perciformes	Cottidae	Myoxocephalus	Myoxocephalus octodecemspinosus	100
e75110e493a85f1f5bc70a4f083f7cf3	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	100
9bc3a36c911e4793d29a8309594662a2	Chordata	Actinopteri	Myctophiformes	Myctophidae	Protomyctophum	Protomyctophum arcticum	99.415
3bb84d54c6f56a4a37e0a68c1f384e50	Chordata	Actinopteri	Anguilliformes	Synaphobranchidae	Synaphobranchus	Synaphobranchus kaupii	100
02afebb71268594917fa69fbc6637889	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	100
15ecd24a90245d8e3be7533e8430ae1a	Chordata	Actinopteri	Scombriformes	Scombridae	Thunnus	Thunnus thynnus	100
3829f491e75fa7c6b2799c9c3d5e104d	Chordata	Actinopteri	Myctophiformes	Myctophidae	Protomyctophum	Protomyctophum arcticum	98.246
763bbf07e6665496a6f5f6995b4ac03f	Chordata	Actinopteri	Myctophiformes	Myctophidae	Diaphus	Diaphus dumerilii	98.87
4d0f691360aab6ed4cc5b30317b2c68c	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	100
bfe386adc40a48e2a1e996940b0de178	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	99.465
d363797257fc5f49c8ec0c9e6cbf7392	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	100
a1288d71cd258a7d5055a7d153385471	Chordata	Actinopteri	Perciformes	Cottidae	Triglops	Triglops murrayi	100
f7578ceab620c2908c36bea7c20d6d0c	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	NA	Moraxellaceae bacterium	79.913
aa4895a449d7eeb639b0e36b31319c0d	Chordata	Actinopteri	Myctophiformes	Myctophidae	Protomyctophum	Protomyctophum arcticum	98.83
02d9851b0b5377a0ccf0c1aa2bfc23d9	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	99.408
b72c5ae229de27f0171ab37fbe7023c6	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	99.408
a46abf08c8e259f0026caab72161f25d	Chordata	Actinopteri	Beryciformes	Melamphaidae	Scopelogadus	Scopelogadus beanii	100
d3f734c44e8dc60c37fd1d9d9365ebce	Chordata	Actinopteri	Myctophiformes	Myctophidae	Hygophum	Hygophum hygomii	100
918d944f3f965edd585a8512563eb338	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	99.408
b9b96f46902ec55b7356c410e2c04119	Chordata	Actinopteri	Myctophiformes	Myctophidae	Notoscopelus	Notoscopelus elongatus	100
b7f61135eb2f9a863292c706ddb7e245	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes fasciatus	100
8bf2ea999bd6019950cdf10a33977b61	Chordata	Actinopteri	Gadiformes	Phycidae	Urophycis	Urophycis chuss	99.415
cd99a356681a2ed911f3f6db0b656a02	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Squalius	Squalius cephalus	100
19c693f42cb365035c714e619ba37005	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	100
cecea4d77207a6fc38aa47dbb1856578	NA	NA	NA	NA	NA	NA	NA
881aff54be264fdb56bf223b3c99d5bc	Chordata	Actinopteri	Beloniformes	Belonidae	Scomberesox	Scomberesox saurus	98.81
6df167c53b91051a5dabd4b1bfe1148c	Chordata	Actinopteri	Scombriformes	Scombridae	Thunnus	Thunnus orientalis	100
cc918e28c0e5a84b7b75501da303f36b	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	99.408
c95539af742c9688414d9d874ad466ef	NA	NA	NA	NA	NA	NA	NA
109402140920e8296748e5521589053a	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	99.415
45a9f0a75dcb834c2aa075cab15e5cc8	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	99.408
b64735da8f3632f44759b15e5faddcee	Chordata	Actinopteri	Anguilliformes	Nemichthyidae	Nemichthys	Nemichthys scolopaceus	100
c21f0aa0a81deefb7c10a9a4f671c921	Chordata	Actinopteri	Myctophiformes	Myctophidae	Myctophum	Myctophum punctatum	100
17ab0042ac38d80dcecb47cb27ccb679	Chordata	Actinopteri	Myctophiformes	Myctophidae	Symbolophorus	Symbolophorus veranyi	99.415
2ea7910af285c99c0dbf4cfa1e3c19b8	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	98.817
2d972ca28f283e5ffa9a6c729895d42e	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	100
8f966d769b2567e9eea76427ddfec78d	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	Alosa pseudoharengus	99.422
7d285cdac96b1810e00291becfce1033	NA	NA	NA	NA	NA	NA	NA
559a1a56bdb1622bc77d1bd0a4d99868	Chordata	Actinopteri	Anguilliformes	Serrivomeridae	Serrivomer	Serrivomer beanii	100
e5197be03a63a450f2fc5362e39bbde8	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	98.93
a2e038c1eb370bfcda15d7f8b3ca9e45	Chordata	Actinopteri	Gadiformes	Moridae	Antimora	Antimora microlepis	99.412
4f49e806ec7a759131396d7c7e11436d	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	99.412
01881f80e825b246ad8976e9d2868fef	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	99.408
609f7a3864aa8d2f486669f6c7c1d140	Chordata	Actinopteri	Stomiiformes	Gonostomatidae	Cyclothone	Cyclothone microdon	100
56f2890a62178fec4f57e9f56ffe0282	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	100
