ASV_ID	F-2014-GULD04-1m-L	F-2014-GULD04-1m-S	F-2014-GULD04-20m-S	F-2016-GULD04-1m-L	F-2016-GULD04-1m-S	F-2016-LL07-1m-L	F-2016-LL07-20m-L	F-2016-LL07-20m-S	F-2016-LL07-250m-L	F-2016-LL07-250m-S	F-2017-GULD04-1m-L	F-2017-LL07-1m-L	F-2017-LL07-1m-S	F-2017-LL07-20m-L	F-2017-LL07-20m-S	F-2017-LL07-250m-L	F-2017-LL07-250m-S	S-2014-GULD04-1m-S	S-2014-GULD04-20m-S	S-2014-GULD04-250m-L	S-2014-LL07-1m-L	S-2014-LL07-20m-L	S-2014-LL07-20m-S	S-2017-GULD04-250m-L	S-2017-GULD04-250m-S	S-2017-LL07-1m-S	S-2017-LL07-20m-L	S-2017-LL07-20m-S	S-2017-LL07-250m-L	S-2017-LL07-250m-S	S-2018-GULD04-20m-L	S-2018-GULD04-20m-S	S-2018-GULD04-250m-L	S-2018-LL07-1m-L	S-2018-LL07-1m-S	S-2018-LL07-20m-S	S-2018-LL07-250m-L	S-2018-LL07-250m-S
b1a2b591299a088ebeae35494b1bf713	33	134	28498	26610	114	155	110235	55562	51	97	58	35	14	21	75	341	26	73563	772	38	130	1766	64	107	711	6484	0	12	8	102	106	115874	108	0	119	1114	19	11
e06579de407e6fd6fad7e02d0057903c	21208	46097	42451	62535	107	62	94	172	73	54	35	96	8008	35	59	183	77	115	308	127	51	33	72989	0	59	47	26	35647	41	28473	0	60	37	26	17901	15166	68	43
79c5bf8e719046b98ea4b9639d500374	74	99	24	0	38	63454	1566	95	8523	84	15	5716	275	26969	241	14131	92	72	32	0	145	148	105	55532	58	132	92	35	233	56376	199	135	54	31831	35159	10501	0	150
5a7783c847304564e78f42bc0b5eef42	44	0	36	0	0	46	2	21	0	0	64807	46	12	25	0	5331	73	0	5	44	0	0	28	47	32	25	20	42	84480	43	101	29	160	48	16	28157	4	55
abcf5ede977bcff7850e6718a18b1c32	18	13	80	11	67925	25	39	160	18	83955	0	0	0	106	6	3519	10	26	88	16	17	179	26	0	6442	64	0	17	0	0	0	346	0	0	3	0	0	92
545fbdada0ac175a1ead9d95237e716a	0	0	0	0	0	0	0	0	0	0	26921	0	0	0	186	55	109881	0	0	169	0	0	93	73	11	0	0	96	0	0	46	20	134	35	43	278	34	88
e75110e493a85f1f5bc70a4f083f7cf3	0	0	0	33	0	0	0	0	36	7	0	31	57904	44	39	0	0	34	0	0	32	0	0	28	0	47532	44	51	15	52	0	0	0	0	0	0	23	0
9bc3a36c911e4793d29a8309594662a2	18	0	0	0	0	0	0	0	0	0	0	1055	0	0	0	308	0	44	0	0	0	0	0	56	0	22348	10814	0	54	0	61946	0	0	54	0	0	0	0
3bb84d54c6f56a4a37e0a68c1f384e50	20	29	85	16	60	0	0	0	0	0	0	0	0	0	0	65	4	1887	93396	22	0	48	0	0	48	0	45	0	0	0	0	4	0	0	0	0	0	0
02afebb71268594917fa69fbc6637889	7	82	40364	342	186	884	2242	108	1353	0	0	65	18	68	0	7	20	8465	292	1512	42	3094	2027	109	3101	27	297	50	1809	189	766	0	6227	43	3	80	8	7
