ASV_ID	Phylum	Class	Order	Family	Genus	Species	Confidence
edb753c01883fdcfeb9f2d7abfdb097c	Chordata	Actinopterygii	Aulopiformes	Alepisauridae	Alepisaurus	 Alepisaurus ferox	100
55898dc1e54b9503b9f5841cd6213d13	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
5a7783c847304564e78f42bc0b5eef42	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
62cc95865dd4e638f6c033cd1a54f766	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
654181b0444ca88b182ae52e259a3cdb	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
701813a3dafb89edc9578f3b809262e2	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
72497c408afa9365363e0c2f7397eaf0	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
7926a51ef2f4b7d981e0e4f48d894a10	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
807103fa539332887e1bdd929c8453e0	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
8f966d769b2567e9eea76427ddfec78d	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
a1f3c30d764ef3710ab460bfb3fabf17	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
bc943e88280586f66098b7b1c464672a	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
cb18f583ee11803d9b93b1b9d9a12b04	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
d6e746813bbb22cf124243f928e515f8	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
e8bd092d6e663e4e355010d082462a7e	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
fe774f6f7e90d0e57aaaae3f64c8d34a	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa		100
4d0f691360aab6ed4cc5b30317b2c68c	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	100
9b78a235598e5573203a0686347b2162	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	99.408
28f0cd55529b55f172b73e210a1650b7	Chordata	Aves	Anseriformes	Anatidae	Anas	NA	98.93
322263dc2f9c7d7bdf0f2188af15c751	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	99.465
4cab6bf3218608fee805fecdb8f165db	Chordata	Aves	Anseriformes	Anatidae	Anas	NA	98.93
782e347f63f34213da36722bcece145a	Chordata	Aves	Anseriformes	Anatidae	Anas	NA	98.93
7b176d63603240a9fe3e12da08d27aa3	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	100
7f42fcc222a8f1dc329631fc8ec25832	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	99.465
