ASV_ID	F-2014-GULD04-1m-L	F-2014-GULD04-1m-S	F-2014-GULD04-20m-L	F-2014-GULD04-20m-S	F-2014-GULD04-250m-L	F-2014-GULD04-250m-S	F-2014-LL07-1m-S	F-2014-LL07-20m-S	F-2014-LL07-250m-L	F-2014-LL07-250m-S	F-2016-GULD04-1m-L	F-2016-GULD04-1m-S	F-2016-GULD04-20m-S	F-2016-GULD04-250m-L	F-2016-GULD04-250m-S	F-2016-LL07-1m-L	F-2016-LL07-1m-S	F-2016-LL07-20m-S	F-2016-LL07-250m-L	F-2016-LL07-250m-S	F-2017-GULD04-1m-L	F-2017-GULD04-1m-S	F-2017-GULD04-20m-L	F-2017-GULD04-20m-S	F-2017-GULD04-250m-L	F-2017-GULD04-250m-S	F-2017-LL07-1m-L	F-2017-LL07-1m-S	F-2017-LL07-20m-L	F-2017-LL07-20m-S	F-2017-LL07-250m-L	F-2017-LL07-250m-S	S-2014-GULD04-1m-L	S-2014-GULD04-1m-S	S-2014-GULD04-20m-L	S-2014-GULD04-20m-S	S-2014-GULD04-250m-L	S-2014-GULD04-250m-S	S-2014-LL07-1m-S	S-2014-LL07-20m-S	S-2014-LL07-250m-L	S-2014-LL07-250m-S	S-2017-GULD04-1m-L	S-2017-GULD04-1m-S	S-2017-GULD04-20m-L	S-2017-GULD04-20m-S	S-2017-GULD04-250m-L	S-2017-GULD04-250m-S	S-2017-LL07-1m-L	S-2017-LL07-20m-L	S-2017-LL07-20m-S	S-2017-LL07-250m-L	S-2017-LL07-250m-S	S-2018-GULD04-1m-L	S-2018-GULD04-1m-S	S-2018-GULD04-20m-L	S-2018-GULD04-20m-S	S-2018-GULD04-250m-L	S-2018-GULD04-250m-S	S-2018-LL07-1m-L	S-2018-LL07-1m-S	S-2018-LL07-20m-S	S-2018-LL07-250m-L	S-2018-LL07-250m-S
b49505ef6c1851123e657223bc44f10c	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	39	0	0	0	0	9	0	0	0	0	0	0	697	14	1353	79	3884	1162	184	37	1911	0	85	0	74	0	0	31	21	0	1921	3939	4	6	72	484	231	997	0	0	390	0	447
c641a1a3686dae2d4c43170613ade725	0	0	0	0	644	3359	2559	125	753	5646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	1254	0	0	0	0	4	0	35	0	0	456	764	0	0	0	131	55	47	0	0	313	0	37
6b9dd64d080d53d989a8407d9806429e	0	0	0	0	0	0	99	17	0	0	0	0	33	0	0	0	54	20	0	0	0	452	0	14	0	0	0	102	0	43	0	0	0	542	9	1286	0	107	2917	131	0	52	38	1377	10	2359	0	6	0	0	418	0	21	0	20	0	3587	0	47	0	0	256	0	6
c1797175f7325ec39a2cd4bd3659691a	0	0	0	0	0	162	0	0	0	0	0	0	0	0	118	0	0	16	0	127	11	968	0	47	0	78	3	120	0	66	0	61	0	1750	8	3558	0	1592	1177	177	31	863	15	464	11	1090	0	0	0	3	281	0	85	0	0	0	162	0	164	0	0	88	0	29
69bfc840c6207d6670e7aa72b240c3fe	0	0	14	0	1027	2007	547	167	147	847	0	0	0	56	114	42	110	10	675	581	48	106	18	13	38	2886	296	114	59	0	133	456	0	44	0	92	0	1324	125	0	0	513	0	0	0	0	49	26	22	0	0	106	184	0	0	0	0	0	0	0	0	0	0	0
c497da3b39f30aceede6bec3b03cd100	0	0	0	0	0	234	577	154	0	41	0	0	18	0	101	0	291	22	0	161	11	2166	0	86	0	152	5	79	15	40	0	66	0	605	14	2156	24	611	1169	169	0	276	0	345	0	1638	0	0	0	0	149	0	63	0	4	0	647	0	153	0	0	689	0	16
8c7146307628fdf05429ceed76135848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	55	0	0	0	0	0	0	25	0	0	0	0	489	98	1335	0	29	3852	354	0	0	452	171	195	1012	0	0	602	52	152	22	48	0	21	41	2406	0	0	0	0	790	0	0
f35c0a576bb1ab3577191cb12352c249	0	0	0	0	0	17	108	25	0	0	0	0	10	0	14	0	123	28	0	39	21	126	6	34	0	0	0	22	16	5	0	0	0	426	43	914	19	157	2047	188	24	460	174	490	79	1131	0	109	81	28	222	10	88	0	9	55	4030	21	143	0	0	464	0	47
9135aad5cc6b65a19711a6b48e3ce800	0	0	0	0	21	1194	0	0	24	257	0	0	0	11	1302	0	0	0	17	1113	0	0	0	0	0	1760	0	0	0	0	8	1059	0	0	0	0	7	682	0	0	35	1046	0	0	0	0	14	462	0	0	0	36	2707	0	0	0	0	0	31	0	0	0	0	85
2c58fb3cd7af382778c7aac4d37b9b6a	0	0	0	0	0	30	0	10	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	266	14	36	603	23	20	18	41	55	8	102	0	14	3904	5637	0	0	0	0	0	0	0	0	0	0	0
