ASV_ID	F-2014-GULD04-1m-L	F-2014-GULD04-1m-S	F-2014-GULD04-20m-L	F-2014-GULD04-20m-S	F-2014-GULD04-250m-L	F-2014-GULD04-250m-S	F-2014-LL07-1m-S	F-2014-LL07-20m-S	F-2014-LL07-250m-L	F-2014-LL07-250m-S	F-2016-GULD04-1m-L	F-2016-GULD04-1m-S	F-2016-GULD04-20m-L	F-2016-GULD04-20m-S	F-2016-GULD04-250m-L	F-2016-GULD04-250m-S	F-2016-LL07-1m-L	F-2016-LL07-1m-S	F-2016-LL07-20m-L	F-2016-LL07-20m-S	F-2016-LL07-250m-L	F-2016-LL07-250m-S	F-2017-GULD04-1m-L	F-2017-GULD04-1m-S	F-2017-GULD04-20m-L	F-2017-GULD04-20m-S	F-2017-GULD04-250m-L	F-2017-GULD04-250m-S	F-2017-LL07-1m-L	F-2017-LL07-1m-S	F-2017-LL07-20m-L	F-2017-LL07-20m-S	F-2017-LL07-250m-L	F-2017-LL07-250m-S	S-2014-GULD04-1m-L	S-2014-GULD04-1m-S	S-2014-GULD04-20m-L	S-2014-GULD04-20m-S	S-2014-GULD04-250m-L	S-2014-GULD04-250m-S	S-2014-LL07-1m-L	S-2014-LL07-1m-S	S-2014-LL07-20m-L	S-2014-LL07-20m-S	S-2014-LL07-250m-L	S-2014-LL07-250m-S	S-2017-GULD04-1m-L	S-2017-GULD04-1m-S	S-2017-GULD04-20m-L	S-2017-GULD04-20m-S	S-2017-GULD04-250m-L	S-2017-GULD04-250m-S	S-2017-LL07-1m-L	S-2017-LL07-1m-S	S-2017-LL07-20m-L	S-2017-LL07-20m-S	S-2017-LL07-250m-L	S-2017-LL07-250m-S	S-2018-GULD04-1m-L	S-2018-GULD04-1m-S	S-2018-GULD04-20m-L	S-2018-GULD04-20m-S	S-2018-GULD04-250m-L	S-2018-GULD04-250m-S	S-2018-LL07-1m-L	S-2018-LL07-1m-S	S-2018-LL07-20m-L	S-2018-LL07-20m-S	S-2018-LL07-250m-L	S-2018-LL07-250m-S
fe5b38d2e9971e80130fccc93392ba56	22	1467	20	876	0	0	403	1068	18	0	32	659	122	1229	0	0	0	149	346	3043	0	0	290	2085	370	4296	0	0	201	2296	265	1977	0	0	0	1229	0	1414	0	0	2	327	0	246	0	0	114	987	130	799	0	0	70	1022	0	336	0	0	0	0	0	0	0	0	0	121	0	40	0	0
ed67fda721ccdf145a92f4658f65813d	23	1206	17	907	0	0	956	1626	9	0	23	471	17	333	0	0	18	849	70	2251	0	0	32	1362	59	1500	0	0	41	1632	26	832	0	0	0	919	0	1194	0	0	0	82	2	120	0	0	62	2099	64	1020	0	0	12	136	0	93	0	0	0	0	0	0	0	0	0	150	0	5	0	0
b1734bf4ca2dcbdbaab0df0f0cdcb2a8	38	0	43	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	5453	2285	6978	1074	1992	61	11	0	409	137	319	123
fbd6e30186e58c061a539054467e5377	0	0	5	0	0	0	0	0	0	0	64	10	17	0	0	0	0	0	4	0	0	0	52	0	88	22	0	0	12	0	12	0	0	0	0	8	9	22	0	0	7	53	3	46	0	0	2721	459	3614	485	0	0	3661	622	1343	679	20	0	6	176	19	278	0	0	0	0	0	68	0	0
88f5be5f15aa6c4fe1c26cc7532daf1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	74	849	3	5	4208	47	345	2411	0	30	4937	82
dbd0b9036e3fa638d51fcd7b6d120f6b	0	0	0	0	0	0	0	0	0	0	659	19	0	0	14	0	0	0	0	0	0	0	0	0	5	2	3384	8	117	2	6	0	958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	6646	65	0	0	157	0	0	0	24	0	0	0	0	0	15	0	0	0	4	0
de6266013fded1ba82faca83b024ad7b	2718	0	813	0	15	0	0	0	2392	0	1210	14	146	0	0	0	179	0	0	0	0	0	5	0	30	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	356	0	15	0	0	0	158	0	474	9	0	0	464	14	447	7	0	0	0	5	0	4	0	0	0	0	18	0	0	0
e88699d3ba2fbb5a7a1ff72678a389e5	0	615	0	389	0	0	533	954	0	0	14	1140	22	1127	0	0	0	224	0	860	0	0	7	300	4	489	0	0	7	241	0	210	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	19	0	0	0	0	0	124	0	96	0	0	3	0	0	0	0	11	0	12	0	0	0	0
5655398376c0fe4f8819b6a79998f0e4	382	8	130	15	126	0	7	9	115	0	196	0	52	0	157	0	69	0	0	0	307	0	52	0	65	5	237	0	91	0	103	0	189	0	66	0	434	0	195	0	134	0	78	0	101	0	1226	0	829	0	285	0	284	0	259	0	232	0	71	0	225	0	124	0	24	21	6	0	40	0
c74fe75b309859664502215266b64bad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	7	0	192	0	266	0	0	0	2055	0	952	0	0	0	85	0	212	0	32	0	367	0	188	0	0	0	158	0	148	0	4	0	219	0	163	0	28	0	45	0	106	0	152	0	34	0	36	3	131	0
f782b5c934941bc568e67597233f762b	112	127	88	51	0	0	93	141	0	0	88	76	99	26	0	0	80	18	361	151	0	0	114	57	104	55	0	0	440	92	147	45	4	0	0	14	11	43	0	0	148	101	66	130	0	0	97	73	246	31	0	0	58	290	278	227	0	0	12	131	98	180	0	0	0	625	19	19	0	0
b0da38644e11f81df7759c5944f9bbb5	240	0	124	0	7	0	0	0	5	0	856	0	424	0	0	0	44	0	2030	0	0	0	204	0	338	0	0	0	136	0	88	0	0	0	7	0	28	0	0	0	25	0	11	0	0	0	108	0	179	0	0	0	11	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10de758c79c096baedd0057e03c0cc62	0	0	0	0	144	0	0	0	1587	0	266	0	90	0	0	0	0	0	5	4	1646	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	64	0	0	0	363	0	0	0	16	0	0	0	27	0	0	0	0	0	0	0
29fefd59c7a0a043632b049154ca82a8	0	0	0	0	16	754	0	0	64	410	0	0	0	0	12	424	0	0	0	0	23	344	0	0	0	0	0	277	0	0	0	0	5	308	0	0	0	0	12	279	0	0	0	0	18	279	0	0	0	0	0	285	0	0	0	0	0	341	0	0	0	0	0	51	0	0	0	0	0	127
4e7b375554fd7ba631d9af95e2ccad5d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	17	19	18	26	0	0	38	11	50	0	18	0	524	61	927	90	72	4	251	53	110	94	82	0	343	0	328	6	5	0	114	0	112	0	14	0	136	20	175	0	0	0	18	79	6	0	0	0
a84d7ecece265a01cfd7be6b7847c2bc	79	1049	29	622	0	0	346	660	0	8	0	231	0	171	4	0	0	222	0	114	0	0	0	27	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	29	0	0	0	0	0	0
e1cebb554010eeaf8301a2f633a95ecc	2	169	0	132	0	0	83	216	0	0	10	622	0	177	0	0	44	1502	0	458	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2051c0f187cbbe4e099fedcdfcec1637	242	0	28	0	7	0	0	62	120	0	2424	26	31	0	0	0	219	0	0	0	0	0	0	0	10	3	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
7c19bb00cceaa8c73abfb69affd8b5e0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	249	36	264	46	775	7	139	0	177	4	1124	2	0	0	0	0	249	0	2	4	4	0	16	0	22	0	23	6	57	0	9	121	0	0	4	0
82d68780f20b5964f2101dc1131b1d14	67	0	130	0	164	0	0	0	395	0	0	0	121	0	211	0	0	0	111	0	180	0	57	0	0	0	159	0	138	0	106	0	290	0	0	0	0	0	344	0	65	0	0	0	217	0	0	0	0	0	167	0	0	0	69	0	84	0	0	0	0	0	111	0	0	0	0	0	126	0
545332051a711aee225bbd64cc38d6c0	22	117	0	95	0	19	168	295	0	0	0	87	0	127	0	0	0	20	0	133	0	6	0	186	0	289	0	0	0	190	0	156	0	0	0	0	0	25	0	21	0	12	0	25	0	0	0	161	5	115	0	0	0	386	0	236	0	0	0	38	0	66	0	197	0	0	0	45	0	0
587781d23f0779f4e24d8758bcc52bc1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	12	0	0	27	0	0	11	0	0	286	12	520	16	12	0	219	31	72	33	168	0	336	19	275	0	0	0	80	0	55	2	0	0	130	13	261	0	8	0	0	572	0	10	13	0
b9ed5a5af76c49345a52074f1bd5c2ef	0	17	0	10	0	0	12	25	0	0	0	238	14	341	0	0	0	341	32	749	0	0	0	289	10	411	0	0	0	273	0	166	0	0	0	2	0	7	0	0	0	5	0	7	0	0	0	84	0	45	0	0	0	46	0	16	0	0	0	0	0	0	0	3	0	10	0	0	0	0
82aaf1962dc756ffd3a0236830b81918	104	4	25	7	0	0	9	7	0	0	312	0	224	6	0	0	148	0	198	28	0	0	472	10	484	25	0	0	475	28	483	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127937680cb11a347c025afc4ca43f69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	48	0	325	0	286	0	0	0	0	0	0	0	21	0	34	0	0	0	61	0	78	0	17	0	0	0	1988	29	0	0	50	0
bf6c803981171e3436c3d55710f15fd4	245	0	53	0	0	0	0	0	0	0	799	0	64	0	4	0	410	3	30	8	0	0	263	0	236	13	0	0	432	13	440	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30edccd417aaf424d1020078f8042697	16	59	0	0	647	11	106	118	1601	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09857f94c02008a23acf289d23dadeb7	0	114	0	101	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	216	0	330	0	0	0	233	0	132	0	0	0	99	0	146	0	0	0	0	0	0	0	0	0	399	0	247	0	0	0	337	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
252a0201228de95935b38367cae68450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	20	2	0	0	135	3	53	0	0	0	10	0	48	0	2028	0	0	0	0	0	64	0	0	0	4	0	4	0	0	0	0	0	6	0	0	0	0	3	89	0	18	0	0	0	0	0
f9280dd322f4016c0c58c307e1598ee7	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	49	0	0	0	286	17	356	0	0	0	396	0	183	0	0	0	173	0	204	0	0	0	51	0	87	0	0	0	261	0	172	0	0	0	21	0	176	0	0	0	0	0	0	0	25	0	0	0	131	0	0
ac2a039ac3fc7780e8e3eb3e58374df1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	315	63	223	79	0	0	526	118	167	57	0	0	0	0	0	22	0	0	19	5	4	21	0	0	39	29	150	5	0	0	6	6	79	84	0	0	119	14	62	106	40	0	67	108	17	9	0	0
