ASV_ID	Superkingdom	Phylum	Class	Order	Family	Genus	Species	Confidence	Selected_Prefix
fbd6e30186e58c061a539054467e5377	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.091	blst_
a84d7ecece265a01cfd7be6b7847c2bc	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.859	blst_
e1cebb554010eeaf8301a2f633a95ecc	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	77.676	blst_
30edccd417aaf424d1020078f8042697	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter	Croceibacter atlanticus	98.864	blst_
a437892a8077caf28bf99b89273dfe4e	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	88.782	blst_
30d439390a39cad202dd368048fe51f7	Bacteria	NA	NA	NA	NA	NA	NA	80.065	blst_
d39f6f635f0b3d17814179db5d708b1f	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	89.103	blst_
8334592c02cb052a4b4339207110e35d	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.581	blst_
0e9b20b93ca5883ab0942798de79a05a	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.112	blst_
d513f826f0a680fae4c9324f842992a1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.247	blst_
3996d18c5a7a68adb6a695169ecdd756	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	NA	NA	NA	79.167	blst_
69d65287af5870b45746afd189866c6a	Bacteria	NA	NA	NA	NA	NA	NA	80.392	blst_
8c49ad2d2fdd54d246d1b917adf1c320	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.051	blst_
68f37a448cdd3bbbe3c7354dd4d11533	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	uncultured Flavobacteriales bacterium	97.151	blst_
