sampleid	AZMP_code	Cruise_code	Date	Station	Year	Season	Latitude	Longitude	Depth	Size Fraction	Time	Volume_SW			
F-2014-GULD04-1m-L	177a	HUD2014030	2014-09-27	GULD_04	2014	F	43.789115	-58.900267	1	L					
F-2014-GULD04-1m-S	177d	HUD2014030	2014-09-27	GULD_04	2014	F	43.789115	-58.900267	1	S					
F-2014-GULD04-20m-L	178a	HUD2014030	2014-09-27	GULD_04	2014	F	43.789115	-58.900267	20	L					
F-2014-GULD04-20m-S	178d	HUD2014030	2014-09-27	GULD_04	2014	F	43.789115	-58.900267	20	S					
F-2014-GULD04-250m-L	180a	HUD2014030	2014-09-27	GULD_04	2014	F	43.789115	-58.900267	250	L					
F-2014-GULD04-250m-S	180e	HUD2014030	2014-09-28	GULD_04	2014	F	43.789115	-58.900267	250	S					
F-2014-LL07-1m-L	205a	HUD2014030	2014-10-02	LL_07	2014	F	44.130373	-58.18221	1	L					
F-2014-LL07-1m-S	205d	HUD2014030	2014-10-02	LL_07	2014	F	44.130373	-58.18221	1	S					
F-2014-LL07-20m-L	206a	HUD2014030	2014-10-02	LL_07	2014	F	44.130373	-58.18221	20	L					
F-2014-LL07-20m-S	206e	HUD2014030	2014-10-02	LL_07	2014	F	44.130373	-58.18221	20	S					
F-2014-LL07-250m-L	208a	HUD2014030	2014-10-02	LL_07	2014	F	44.130373	-58.18221	250	L					
F-2014-LL07-250m-S	208e	HUD2014030	2014-10-02	LL_07	2014	F	44.130373	-58.18221	250	S					
F-2016-GULD04-1m-L	242b	HUD2014004	2016-09-20	GULD_04	2016	F	43.788763	-58.90038	1	L	17:11:00	3850			
F-2016-GULD04-1m-S	242d	HUD2014004	2016-09-20	GULD_04	2016	F	43.788763	-58.90038	1	S	17:11:00	3850			
F-2016-GULD04-20m-L	243b	HUD2014004	2016-09-20	GULD_04	2016	F	43.788763	-58.90038	20	L	17:11:00	3950			
F-2016-GULD04-20m-S	243d	HUD2014004	2016-09-20	GULD_04	2016	F	43.788763	-58.90038	20	S	17:11:00	3950			
F-2016-GULD04-250m-L	245b	HUD2014004	2016-09-20	GULD_04	2016	F	43.788763	-58.90038	250	L	17:11:00	3600			
F-2016-GULD04-250m-S	245d	HUD2014004	2016-09-20	GULD_04	2016	F	43.788763	-58.90038	250	S	17:11:00	3600			
F-2016-LL07-1m-L	258a	HUD2014004	2016-09-22	LL_07	2016	F	44.133483	-58.174167	1	L	12:38:00	3800			
